"district","statename"
"Nicobar","Andaman & Nicobar Islands"
"North And Middle Andaman","Andaman & Nicobar Islands"
"South Andaman","Andaman & Nicobar Islands"
"Ananthapur","Andhra Pradesh"
"Chittoor","Andhra Pradesh"
"Cuddapah","Andhra Pradesh"
"East Godavari","Andhra Pradesh"
"Guntur","Andhra Pradesh"
"Krishna","Andhra Pradesh"
"Kurnool","Andhra Pradesh"
"Nellore","Andhra Pradesh"
"Prakasam","Andhra Pradesh"
"Srikakulam","Andhra Pradesh"
"Visakhapatnam","Andhra Pradesh"
"Vizianagaram","Andhra Pradesh"
"West Godavari","Andhra Pradesh"
"Changlang","Arunachal Pradesh"
"Dibang Valley","Arunachal Pradesh"
"East Kameng","Arunachal Pradesh"
"East Siang","Arunachal Pradesh"
"Kurung Kumey","Arunachal Pradesh"
"Lohit","Arunachal Pradesh"
"Lower Subansiri","Arunachal Pradesh"
"Papum Pare","Arunachal Pradesh"
"Tawang","Arunachal Pradesh"
"Tirap","Arunachal Pradesh"
"Upper Siang","Arunachal Pradesh"
"Upper Subansiri","Arunachal Pradesh"
"West Kameng","Arunachal Pradesh"
"West Siang","Arunachal Pradesh"
"Barpeta","Assam"
"Bongaigaon","Assam"
"Cachar","Assam"
"Darrang","Assam"
"Dhemaji","Assam"
"Dhubri","Assam"
"Dibrugarh","Assam"
"Goalpara","Assam"
"Golaghat","Assam"
"Hailakandi","Assam"
"Jorhat","Assam"
"Kamrup","Assam"
"Karbi Anglong","Assam"
"Karimganj","Assam"
"Kokrajhar","Assam"
"Lakhimpur","Assam"
"Marigaon","Assam"
"Nagaon","Assam"
"Nalbari","Assam"
"North Cachar Hills","Assam"
"Sibsagar","Assam"
"Sonitpur","Assam"
"Tinsukia","Assam"
"Araria","Bihar"
"Arwal","Bihar"
"Aurangabad(Bh)","Bihar"
"Banka","Bihar"
"Begusarai","Bihar"
"Bhagalpur","Bihar"
"Bhojpur","Bihar"
"Buxar","Bihar"
"Darbhanga","Bihar"
"East Champaran","Bihar"
"Gaya","Bihar"
"Gopalganj","Bihar"
"Jamui","Bihar"
"Jehanabad","Bihar"
"Kaimur (Bhabua)","Bihar"
"Katihar","Bihar"
"Khagaria","Bihar"
"Kishanganj","Bihar"
"Lakhisarai","Bihar"
"Madhepura","Bihar"
"Madhubani","Bihar"
"Munger","Bihar"
"Muzaffarpur","Bihar"
"Nalanda","Bihar"
"Nawada","Bihar"
"Patna","Bihar"
"Purnia","Bihar"
"Rohtas","Bihar"
"Saharsa","Bihar"
"Samastipur","Bihar"
"Saran","Bihar"
"Sheikhpura","Bihar"
"Sheohar","Bihar"
"Sitamarhi","Bihar"
"Siwan","Bihar"
"Supaul","Bihar"
"Vaishali","Bihar"
"West Champaran","Bihar"
"Chandigarh","Chandigarh"
"Bastar","Chattisgarh"
"Bijapur","Chattisgarh"
"Bilaspur","Chattisgarh"
"Dantewada","Chattisgarh"
"Dhamtari","Chattisgarh"
"Durg","Chattisgarh"
"Janjgir-Champa","Chattisgarh"
"Jashpur","Chattisgarh"
